shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco
RWA,1.0,0.022222223,0.0,,6.4769726,5.6347895,0.0,-3.1465552,
SAU,0.0,0.2777778,0.0,7.590909,9.2399,,1.0,-0.638659,
SDN,1.0,0.16666667,0.0,4.0,7.3065314,4.479607,0.0,-2.7030625,1.0
SEN,1.0,0.15555556,0.0,6.0,7.4024515,5.103883,0.0,-2.6310892,1.0
SGP,0.0,0.013555556,0.0,9.318182,10.146434,2.8735647,1.0,-0.5008753,1.0
SLE,1.0,0.09222222,0.0,5.818182,6.253829,6.1800165,0.0,-2.748872,1.0
SLV,0.0,0.15,0.0,5.0,7.948032,4.3579903,0.0,-1.8515095,1.0
SOM,1.0,0.11111111,0.0,3.0,,,0.0,-3.015935,
STP,0.0,0.011111111,0.0,8.409091,,,0.0,,
SUR,0.0,0.044444446,0.0,4.681818,8.01,3.4713452,0.0,-1.3704209,
SVK,0.0,0.5377778,0.0,,8.852236,,0.0,,
SVN,0.0,0.51111114,0.0,,9.300181,,0.0,,
SWE,0.0,0.6888889,0.0,9.5,9.866304,,0.0,-0.23952703,
SWZ,1.0,0.2922222,0.0,,8.10772,,0.0,-1.8078889,
SYR,0.0,0.3888889,0.0,5.818182,8.029433,,1.0,-0.8255364,
TCD,1.0,0.16666667,0.0,,6.8351846,5.6347895,0.0,-3.4420192,
TGO,1.0,0.08888889,0.0,6.909091,7.222566,6.504288,0.0,-3.218876,1.0
THA,0.0,0.16666667,0.0,7.6363635,8.774931,4.9416423,1.0,-1.8515095,
TJK,0.0,0.43333334,0.0,,6.8875527,,1.0,,
TKM,0.0,0.44444445,0.0,,7.6401234,,1.0,,
TTO,0.0,0.12222222,0.0,7.4545455,8.76873,4.4426513,0.0,-0.69715524,1.0
TUN,1.0,0.37777779,0.0,6.4545455,8.482602,4.1431346,0.0,-1.5278579,1.0
TUR,0.0,0.43333334,0.0,7.4545455,8.641179,,1.0,-1.5232602,
TWN,0.0,,0.0,9.227273,,,1.0,-0.809681,
TZA,1.0,0.06666667,0.0,6.6363635,6.253829,5.6347895,0.0,-3.4420192,1.0
UGA,1.0,0.011111111,0.0,4.4545455,6.9660244,5.6347895,0.0,-3.4420192,1.0
UKR,0.0,0.54444444,0.0,,7.8119736,,0.0,,
URY,0.0,0.36666667,0.0,7.0,9.031214,4.26268,0.0,-1.0788096,1.0
USA,0.0,0.42222223,1.0,10.0,10.21574,2.7080503,0.0,0.0,1.0
UZB,0.0,0.45555556,0.0,,7.8079166,,1.0,,
VEN,0.0,0.08888889,0.0,7.1363635,9.071078,4.3579903,0.0,-0.7031975,1.0
VNM,0.0,0.17777778,0.0,6.409091,7.279319,4.9416423,1.0,,1.0
YEM,0.0,0.16666667,0.0,6.3636365,6.6463904,,1.0,-1.551169,
YUG,0.0,0.4888889,0.0,6.318182,,,0.0,-1.2039728,
ZAF,1.0,0.32222223,0.0,6.8636365,8.885994,2.74084,0.0,-1.3862944,1.0
ZAR,1.0,0.0,0.0,3.5,6.8669333,5.480639,0.0,-3.4112477,1.0
ZMB,1.0,0.16666667,0.0,6.6363635,6.8134446,,0.0,-2.9759297,
ZWE,1.0,0.22222222,0.0,6.0,7.696213,,0.0,-2.7333682,
